key	zh-CN	en
ui.trails	尾迹	Trails
ui.enable_debug	启用调试	Enable Debug
ui.initial_mass	初始质量：	Initial Body Mass:
ui.flash_brightness	天体闪光亮度：	Flash Brightness:
ui.step_once	步过	Step Once
ui.lightness_range	天体明度范围：	Lightness Range:
ui.fragment_mass	碎片质量：	Fragment Mass:
ui.saturation_range	天体饱和度范围：	Saturation Range:
ui.despawn_radius	销毁半径：	Despawn Radius:
ui.body_count	天体数量：	Body Count:
ui.glow_brightness	天体发光亮度：	Glow Brightness:
ui.colors	颜色	Colors
ui.hue_range	天体色调范围：	Hue Range:
ui.scale	缩放：	Scale:
ui.max_step	最大步长(毫秒)：	Max Step (ms):
ui.events	事件	Events
ui.velocity	速度	Velocity
ui.simulation_speed	倍速：	Simulation Speed:
ui.position	位置	Position
ui.spawn_radius	生成半径：	Spawn Radius:
ui.gravity_constant	引力常数：	Gravity Constant:
ui.initial_speed_multiplier	初始速度倍率：	Initial Speed Multiplier:
ui.batch_count	批次数：	Batch Count:
ui.avatar_light	模型灯亮度：	Avatar Light:
ui.reset_note	*重置时更新	*Applied on Reset
slider.auto	自动	Auto
status.no_snapshot	尚未抓取快照	No snapshot captured
status.sending_no_capture	发送中，无法抓取	Cannot capture while sending
status.capture_success	抓取成功	Snapshot captured
status.capture_failed	抓取失败	Capture failed
status.downloading	下载中...	Downloading...
status.applying_local_snapshot	正在应用本地快照...	Applying local snapshot...
status.requesting_sync	请求同步中...	Requesting sync...
status.applying_data	正在应用数据...	Applying data...
status.sync_failed	下载失败	Download failed
status.download_complete	下载完成	Download complete
error.player_left	对方已离开	The other player left
error.receive_timeout	接收超时	Receive timed out
error.snapshot_size_invalid	快照大小无效	Invalid snapshot size
error.snapshot_metadata_mismatch	快照元数据不一致	Snapshot metadata mismatch
error.snapshot_chunk_invalid	快照分块无效	Invalid snapshot chunk
debug.physics_step	物理步长(ms)	Physics Step (ms)
debug.target_crt	目标CRT	Target CRT
debug.current_batch	当前批次	Current Batch
debug.total_batches	总批次数	Total Batches
ui.about.title	关于与文档	About & Documentation
ui.about.content	<b>开源地址</b>\nhttps://github.com/donywang922/re-Gravity\n\n<b>Bug 汇报</b>\n请通过 GitHub Issues 提交，并附上复现步骤、平台、显卡及截图。\nhttps://github.com/donywang922/re-Gravity/issues\n\n<b>使用的资产</b>\nVRChat Worlds SDK · UdonSharp · QvPen\nTextMesh Pro · Font Awesome 6 Free · Smiley Sans	<b>Open-source repository</b>\nhttps://github.com/donywang922/re-Gravity\n\n<b>Bug reports</b>\nPlease use GitHub Issues and include reproduction steps, platform, GPU, and screenshots.\nhttps://github.com/donywang922/re-Gravity/issues\n\n<b>Assets used</b>\nVRChat Worlds SDK · UdonSharp · QvPen\nTextMesh Pro · Font Awesome 6 Free · Smiley Sans
ui.about.open_document	打开完整文档	Open Full Guide
doc.01.title	re-Gravity 的系统机制	re-Gravity System Overview
doc.01.body	<b>核心模拟</b>　每个天体拥有位置、速度、质量和事件状态；初始天体在球形范围内随机生成，并获得绕倾斜轴旋转的近似轨道速度。所有天体互相施加引力，速度与位置通过 GPU 纹理持续更新。\n\n<b>交互与循环</b>　天体由高密度内核和低密度包层组成。包层接触会产生阻尼、渐进吸收或擦碰破碎，内核相交会吞并较小天体；未接触时，超过阈值的潮汐应力也会撕裂天体。损失的质量由预留空槽回收成碎片，飞出销毁半径且仍向外运动的天体也会变为空槽。\n\n<b>画面</b>　天体使用面向视角的球形 Impostor 渲染，并在相邻物理状态之间插值。颜色从 HSL 范围生成，远处天体会根据玩家视角距离降低饱和度和明度。质量超过发光阈值后，亮度按质量比的对数增加；质量结算会触发短闪，新生碎片则带有约 300 个更新帧逐渐衰减的闪光。\n\n<b>轨迹与分享</b>　轨迹系统异步读取质量，选择最重的 64 个有效天体；仍在榜内的天体保留原轨迹槽，避免线条互换。快照可以把某一时刻的位置、质量和速度分块发送给其他玩家，但不是持续实时同步。	<b>Core simulation</b>  Each body has position, velocity, mass, and event state. Initial bodies are distributed inside a sphere and given approximate orbital velocity around a tilted axis. Every body attracts every other body, with velocity and position continuously updated in GPU textures.\n\n<b>Interactions and recycling</b>  A body has a dense core and a lighter envelope. Envelope contact can cause drag, gradual absorption, or grazing shatter; core contact swallows the smaller body. Even without contact, excessive tidal stress can tear material away. Reserved empty slots recycle lost mass into fragments. A body beyond the despawn radius becomes an empty slot only while it is still moving outward.\n\n<b>Presentation</b>  Camera-facing sphere impostors are interpolated between physics states. Colors are generated from HSL ranges, and saturation and lightness fade with distance from the player's view. Above the glow threshold, brightness rises logarithmically with mass. Mass settlement produces a short flash, while newly spawned fragments carry a flash that fades over roughly 300 update frames.\n\n<b>Trails and sharing</b>  An asynchronous mass scan selects the 64 heaviest valid bodies. Bodies that remain selected keep their trail slots so lines do not swap. Snapshots can send one moment of position, mass, and velocity to another player, but they are not continuous synchronization.
doc.02.title	操作与控制面板	Controls and Panel
